product,rating,rating count,price,product_url
AmazonBasics Professional USB Condenser Microphone - Black  ,4.3 out of 5 stars,186  ,182.82,https://amazon.ca/AmazonBasics-Professional-USB-Condenser-Microphone/dp/B076ZXYG17/ref=sxin_25_trfobq2a_5_B076ZXYG17?content-id=amzn1.sym.9993a9d9-676b-458e-9b7b-b37a30312f07%3Aamzn1.sym.9993a9d9-676b-458e-9b7b-b37a30312f07&cv_ct_cx=micro+usb&keywords=micro+usb&pd_rd_i=B076ZXYG17&pd_rd_r=7d01d0c4-204e-4e1e-b4dc-94c1d76d0ee2&pd_rd_w=drvVJ&pd_rd_wg=LTbQ1&pf_rd_p=9993a9d9-676b-458e-9b7b-b37a30312f07&pf_rd_r=6Q1CN912PJHH098XW3CK&qid=1656174673&sr=1-6-c944532c-3909-4a2a-84a2-570d2ee3cd13
"AmazonBasics Double Braided Nylon USB Type-C to Micro-B 2.0 Male Charger Cable | 1 foot, Dark Grey  ",4.5 out of 5 stars,"7,714  ",14.29,https://amazon.ca/AmazonBasics-Double-Braided-Type-C-Micro-B/dp/B07CWH4YK2/ref=sxin_25_trfobq2a_6_B07CWH4YK2?content-id=amzn1.sym.9993a9d9-676b-458e-9b7b-b37a30312f07%3Aamzn1.sym.9993a9d9-676b-458e-9b7b-b37a30312f07&cv_ct_cx=micro+usb&keywords=micro+usb&pd_rd_i=B07CWH4YK2&pd_rd_r=7d01d0c4-204e-4e1e-b4dc-94c1d76d0ee2&pd_rd_w=drvVJ&pd_rd_wg=LTbQ1&pf_rd_p=9993a9d9-676b-458e-9b7b-b37a30312f07&pf_rd_r=6Q1CN912PJHH098XW3CK&qid=1656174673&sr=1-7-c944532c-3909-4a2a-84a2-570d2ee3cd13
"AmazonBasics 3 Pin Microphone Cable - 10 Feet, Silver  ",4.6 out of 5 stars,"2,204  ",18.88,https://amazon.ca/AmazonBasics-Braided-Microphone-Cable-10-Foot/dp/B07D49TN8D/ref=sxin_25_trfobq2a_7_B07D49TN8D?content-id=amzn1.sym.9993a9d9-676b-458e-9b7b-b37a30312f07%3Aamzn1.sym.9993a9d9-676b-458e-9b7b-b37a30312f07&cv_ct_cx=micro+usb&keywords=micro+usb&pd_rd_i=B07D49TN8D&pd_rd_r=7d01d0c4-204e-4e1e-b4dc-94c1d76d0ee2&pd_rd_w=drvVJ&pd_rd_wg=LTbQ1&pf_rd_p=9993a9d9-676b-458e-9b7b-b37a30312f07&pf_rd_r=6Q1CN912PJHH098XW3CK&qid=1656174673&sr=1-8-c944532c-3909-4a2a-84a2-570d2ee3cd13
"Anker [6-Pack] Powerline Micro USB - Compatible with Samsung, Nexus, LG, Motorola, Android Smartphones and More (Black)  ",4.6 out of 5 stars,"2,888  ",19.99,https://amazon.ca/Anker-6-Pack-PowerLine-Micro-USB/dp/B015XPU7RC/ref=sr_1_16?keywords=micro+usb&qid=1656174673&sr=8-16
"SURRI Micro USB Cable Android, Micro to USB Cable 5 Pack (3FT 3FT 6FT 6FT 10FT) Nylon Braided Sync and Fast Charging Cord Compatible Android Smartphones Tablets Wall and Car Charger, Galaxy S7/6 and More  ",4.3 out of 5 stars,209  ,14.39,https://amazon.ca/SURRI-Android-Charging-Compatible-Smartphones/dp/B07SGKW2H5/ref=sr_1_17?keywords=micro+usb&qid=1656174673&sr=8-17
StarTech.com Left Angle Micro USB Cable – 1 ft / 0.5m – 90 degree – USB Cord – USB Charger Cable – USB to Micro USB Cable (USBAUB50CMLA)  ,4.3 out of 5 stars,226  ,16.29,https://amazon.ca/StarTech-com-Left-Angle-Micro-Cable/dp/B071P99Q65/ref=sr_1_18?keywords=micro+usb&qid=1656174673&sr=8-18
"AmazonBasics USB 2.0 A-Male to Micro B Charger Cable, 3 feet, Black  ",4.6 out of 5 stars,"23,985  ",7.75,https://amazon.ca/AmazonBasics-Male-Micro-Cable-Black/dp/B0711PVX6Z/ref=sr_1_19?keywords=micro+usb&qid=1656174673&sr=8-19
"AmazonBasics USB 2.0 A-Male to Micro B Charger Cable (2 Pack), 6 feet, Black  ",4.6 out of 5 stars,"9,314  ",11.18,https://amazon.ca/AmazonBasics-Male-Micro-Cable-Black/dp/B071S5NPG9/ref=sr_1_20?keywords=micro+usb&qid=1656174673&sr=8-20
"AmazonBasics USB 2.0 A-Male to Micro B Charger Cable, 10 feet, Black  ",4.6 out of 5 stars,"11,516  ",9.38,https://amazon.ca/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0216354JGW4243COWHO&url=%2FAmazonBasics-Male-Micro-Cable-Black%2Fdp%2FB071S5NTDR%2Fref%3Dsr_1_21_sspa%3Fkeywords%3Dmicro%2Busb%26qid%3D1656174673%26sr%3D8-21-spons%26psc%3D1&qualifier=1656174673&id=126635983520266&widgetName=sp_mtf
Sabrent [6-Pack 22AWG Premium 1ft Micro USB Cables High Speed USB 2.0 A Male to Micro B Sync and Charge Cables [Black] (CB-UM61)  ,4.6 out of 5 stars,"1,632  ",12.98,https://amazon.ca/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A04896912XBISN7J945P2&url=%2FSabrent-6-Pack-Premium-Cables-CB-UM61%2Fdp%2FB011KMSNXM%2Fref%3Dsr_1_22_sspa%3Fkeywords%3Dmicro%2Busb%26qid%3D1656174673%26sr%3D8-22-spons%26psc%3D1%26smid%3DA29Y8OP2GPR7PE&qualifier=1656174673&id=126635983520266&widgetName=sp_mtf
