product,rating,rating count,price,product_url
"Starpro | C20 Boxing Gloves for Strong Punches & Fast KOs | Boxing Gloves for Men, Boxing Gloves for Women, Kickboxing Gloves, Boxing Training Gloves, Boxing Glove, 16 oz Boxing Gloves & More Sizes  ",4.6 out of 5 stars,443  ,36.99,https://amazon.ca/Boxing-Kickboxing-Training-Martial-Punching/dp/B07KXWJ98Z/ref=sr_1_45?keywords=boxing+glove&qid=1656174741&sr=8-45
Everlast Pro Style Training Gloves  ,4.6 out of 5 stars,"6,158  ",49.99,https://amazon.ca/Everlast-Pro-Style-Training-Gloves/dp/B000LOF6CW/ref=sr_1_46?keywords=boxing+glove&qid=1656174741&sr=8-46
Venum Contender Boxing Gloves  ,4.6 out of 5 stars,"6,015  ",43.5,https://amazon.ca/Venum-Contender-Boxing-Gloves-14-Ounce/dp/B014GVIJ92/ref=sr_1_47?keywords=boxing+glove&qid=1656174741&sr=8-47
Hayabusa T3 LX Leather Boxing Gloves for Men and Women  ,4.8 out of 5 stars,685  ,239.0,https://amazon.ca/Hayabusa-Italian-Leather-Boxing-Gloves/dp/B08KJQVYCV/ref=sr_1_48?keywords=boxing+glove&qid=1656174741&sr=8-48
"RDX Boxing Gloves Genuine Cowhide Leather, Muay Thai Kickboxing MMA Sparring Training, Advanced TAKKA Closure, Padding, Ventilated, Punch Bags Speed Ball Focus Pads Workout, 10 12 14 16oz  ",3.9 out of 5 stars,14  ,99.99,https://amazon.ca/RDX-Training-Sparring-Punching-Kickboxing/dp/B07DL9KSTX/ref=sr_1_49?keywords=boxing+glove&qid=1656174741&sr=8-49
"RDX Boxing Gloves for Training Muay Thai Maya Hide Leather Gloves for Sparring, Kickboxing, Fighting, Punch Bags, Double End Speed Ball Focus Pads Punching  ",5.0 out of 5 stars,6  ,49.99,https://amazon.ca/RDX-Training-Sparring-Kickboxing-Fighting/dp/B08H5SBJRP/ref=sr_1_50?keywords=boxing+glove&qid=1656174741&sr=8-50
"Cleto Reyes Safetec Professional Fight Gloves, RESTR 0  ",4.2 out of 5 stars,33  ,224.57,https://amazon.ca/Cleto-Reyes-Safetec-Professional-8-Ounce/dp/B006CV65GY/ref=sr_1_51?keywords=boxing+glove&qid=1656174741&sr=8-51
Jayefo R-6 Boxing Gloves  ,4.7 out of 5 stars,648  ,24.99,https://amazon.ca/Boxing-Gloves-Sparring-Punching-Kickboxing/dp/B092439FSP/ref=sr_1_52?keywords=boxing+glove&qid=1656174741&sr=8-52
"RDX Boxing Pads and Gloves Set, Hook and Jab Target Focus Mitts with Punching Gloves, Hand Pads for MMA, Muay Thai, Kickboxing, Martial Arts, Karate Training, Padded Coaching Strike Shield  ",4.4 out of 5 stars,210  ,69.99,https://amazon.ca/RDX-Punching-Kickboxing-Training-Coaching/dp/B00OZT06YW/ref=sr_1_53?keywords=boxing+glove&qid=1656174741&sr=8-53
Everlast Partner Training Kit  ,4.3 out of 5 stars,"1,083  ",35.98,https://amazon.ca/Everlast-3010-Partner-Training-Kit/dp/B00EYVSV6Q/ref=sr_1_54?keywords=boxing+glove&qid=1656174741&sr=8-54
TEKXYZ Bad Kids Series Boxing Gloves - 4 6 OZ Synthetic Leather Kids Boxing Training Gloves with Vivid Color for Boys and Girls Age 3 to 12 Years Old  ,4.5 out of 5 stars,"1,026  ",29.99,https://amazon.ca/TEKXYZ-Bad-Kids-Boxing-Gloves/dp/B08KWLHYVB/ref=sr_1_55?keywords=boxing+glove&qid=1656174741&sr=8-55
CKE Kids Boxing Gloves for Kids Boys Girls Junior Youth Toddlers Age 5-12 Years Training Boxing Gloves for Punching Bag Kickboxing Muay Thai  ,4.5 out of 5 stars,"1,120  ",25.98,https://amazon.ca/CKE-Toddlers-Training-Punching-Kickboxing/dp/B095K3NT25/ref=sr_1_56?keywords=boxing+glove&qid=1656174741&sr=8-56
Everlast Powerlock 2R Training Glove  ,4.7 out of 5 stars,108  ,75.27,https://amazon.ca/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A04147927W0DBJ0AZEV3&url=%2FEverlast-P00002285-Powerlock-Training-Glove%2Fdp%2FB08XZV8HLT%2Fref%3Dsr_1_58_sspa%3Fkeywords%3Dboxing%2Bglove%26qid%3D1656174741%26sr%3D8-58-spons%26psc%3D1%26smid%3DA26PQDLRG9N61K&qualifier=1656174741&id=8567664167886956&widgetName=sp_btf
Hayabusa S4 Leather Boxing Gloves for Women & Men  ,4.6 out of 5 stars,388  ,99.0,https://amazon.ca/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A09055041RX3Y00EY1QWG&url=%2FHayabusa-Leather-Boxing-Gloves-Women%2Fdp%2FB09FYFLN92%2Fref%3Dsr_1_59_sspa%3Fkeywords%3Dboxing%2Bglove%26qid%3D1656174741%26sr%3D8-59-spons%26psc%3D1&qualifier=1656174741&id=8567664167886956&widgetName=sp_btf
Hayabusa S4 Boxing Gloves for Men and Women  ,4.4 out of 5 stars,"4,395  ",79.0,https://amazon.ca/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A003834328NZN2WFQQO2U&url=%2FHayabusa-S4-Boxing-Gloves-Purple%2Fdp%2FB081G64JBM%2Fref%3Dsr_1_49_sspa%3Fkeywords%3Dboxing%2Bglove%26qid%3D1656174744%26sr%3D8-49-spons%26psc%3D1&qualifier=1656174744&id=3675055705038126&widgetName=sp_atf_next
Hayabusa S4 Leather Boxing Gloves for Women & Men  ,4.6 out of 5 stars,388  ,99.0,https://amazon.ca/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A09063401TUK1990EPQUH&url=%2FHayabusa-Leather-Boxing-Gloves-Women%2Fdp%2FB09FYH7YYH%2Fref%3Dsr_1_50_sspa%3Fkeywords%3Dboxing%2Bglove%26qid%3D1656174744%26sr%3D8-50-spons%26psc%3D1&qualifier=1656174744&id=3675055705038126&widgetName=sp_atf_next
ZTTY Boxing Gloves Kickboxing Muay Thai MMA Pro Grade Sparring Training Gloves for Men & Women  ,4.6 out of 5 stars,663  ,39.99,https://amazon.ca/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A01753563FFTJAJJPL8Y6&url=%2FZTTY-Boxing-Kickboxing-Sparring-Training%2Fdp%2FB08MQ17LHX%2Fref%3Dsr_1_51_sspa%3Fkeywords%3Dboxing%2Bglove%26qid%3D1656174744%26sr%3D8-51-spons%26psc%3D1&qualifier=1656174744&id=3675055705038126&widgetName=sp_atf_next
Hawk Sports HWK Boxing Gloves for Men & Women Training Pro Punching Heavy Bag Mitts UFC MMA Muay Thai Sparring Kickboxing Gloves  ,4.6 out of 5 stars,779  ,27.29,https://amazon.ca/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A01328641HXZDYKO8IIDV&url=%2FHawk-Training-Punching-Sparring-Kickboxing%2Fdp%2FB07J4GF3LJ%2Fref%3Dsr_1_52_sspa%3Fkeywords%3Dboxing%2Bglove%26qid%3D1656174744%26sr%3D8-52-spons%26psc%3D1&qualifier=1656174744&id=3675055705038126&widgetName=sp_atf_next
Everlast Spark Boxing Training Gloves  ,4.1 out of 5 stars,233  ,59.99,https://amazon.ca/Everlast-Spark-Boxing-Training-Gloves/dp/B08Z74ZDTL/ref=sr_1_53?keywords=boxing+glove&qid=1656174744&sr=8-53
"RDX Kids Boxing Pads and Gloves Set, Maya Hide Leather Kara Junior Hook and Jab Curved Focus Mitts Punching Gloves for MMA, Muay Thai, Kickboxing Coaching, Martial Arts, Hand Target Strike Shield  ",4.5 out of 5 stars,100  ,96.99,https://amazon.ca/RDX-Leather-Punching-Kickboxing-Coaching/dp/B08N6XDSD7/ref=sr_1_54?keywords=boxing+glove&qid=1656174744&sr=8-54
Ringside IMF Tech Sparring Lace Up Boxing Gloves  ,4.5 out of 5 stars,56  ,93.5,https://amazon.ca/Ringside-Lace-Up-Sparring-Boxing-Gloves/dp/B006CV81JS/ref=sr_1_55?keywords=boxing+glove&qid=1656174744&sr=8-55
Everlast Elite Pro Style Training Gloves  ,4.3 out of 5 stars,501  ,64.99,https://amazon.ca/Everlast-P00002347-Elite-Training-Glove/dp/B091GLZW2W/ref=sr_1_56?keywords=boxing+glove&qid=1656174744&sr=8-56
Everlast Mixed Martial Arts Grappling Gloves  ,4.5 out of 5 stars,"1,637  ",29.99,https://amazon.ca/Everlast-Martial-Grappling-Gloves-X-Large/dp/B000JF4HOQ/ref=sr_1_57?keywords=boxing+glove&qid=1656174744&sr=8-57
Everlast 8 oz Boxing Glove Black (1200026)  ,4.5 out of 5 stars,"1,270  ",53.0,https://amazon.ca/Everlast-Style-Training-Gloves-Ounces/dp/B000QSQCOY/ref=sr_1_58?keywords=boxing+glove&qid=1656174744&sr=8-58
Hayabusa H5 Boxing Gloves for Men and Women  ,4.4 out of 5 stars,262  ,129.0,https://amazon.ca/Hayabusa-Boxing-Gloves-Men-Women/dp/B08JWWCCCL/ref=sr_1_59?keywords=boxing+glove&qid=1656174744&sr=8-59
Everlast Powerlock 2R Training Glove  ,4.7 out of 5 stars,108  ,74.99,https://amazon.ca/Everlast-P00002286-Powerlock-Training-Glove/dp/B09GFDHDW1/ref=sr_1_61?keywords=boxing+glove&qid=1656174744&sr=8-61
